ratingId,employee_employeeId,ratingValue,reviewMonth,reviewYear,reviewComment,ratingCategory,createdAt,createdBy,modifiedAt,modifiedBy
RAT-EMP1001-01,EMP1001,3.2,1,2024,Good start to the year,Average,2024-01-31,admin,2024-01-31,admin
RAT-EMP1001-02,EMP1001,3.5,2,2024,Improved delivery speed,Good,2024-02-29,admin,2024-02-29,admin
RAT-EMP1001-03,EMP1001,3.1,3,2024,Some delays in task completion,Average,2024-03-31,admin,2024-03-31,admin
RAT-EMP1001-04,EMP1001,3.8,4,2024,Strong Q2 performance,Good,2024-04-30,admin,2024-04-30,admin
RAT-EMP1001-05,EMP1001,3.6,5,2024,Consistent output,Good,2024-05-31,admin,2024-05-31,admin
RAT-EMP1001-06,EMP1001,2.9,6,2024,Below expectations mid-year,Average,2024-06-30,admin,2024-06-30,admin
RAT-EMP1001-07,EMP1001,3.4,7,2024,Recovery after feedback,Average,2024-07-31,admin,2024-07-31,admin
RAT-EMP1001-08,EMP1001,3.9,8,2024,Excellent project delivery,Good,2024-08-31,admin,2024-08-31,admin
RAT-EMP1001-09,EMP1001,4.1,9,2024,Leading team initiatives,Good,2024-09-30,admin,2024-09-30,admin
RAT-EMP1001-10,EMP1001,4.3,10,2024,Exceptional Q4 start,Good,2024-10-31,admin,2024-10-31,admin
RAT-EMP1001-11,EMP1001,4.5,11,2024,Outstanding contributions,Excellent,2024-11-30,admin,2024-11-30,admin
RAT-EMP1001-12,EMP1001,4.6,12,2024,Best month of the year,Excellent,2024-12-31,admin,2024-12-31,admin
RAT-EMP1002-01,EMP1002,4.0,1,2024,Strong year opener,Good,2024-01-31,admin,2024-01-31,admin
RAT-EMP1002-02,EMP1002,4.2,2,2024,Continued momentum,Good,2024-02-29,admin,2024-02-29,admin
RAT-EMP1002-03,EMP1002,3.8,3,2024,Slight dip due to project scope,Good,2024-03-31,admin,2024-03-31,admin
RAT-EMP1002-04,EMP1002,4.5,4,2024,Excellent Q2 delivery,Excellent,2024-04-30,admin,2024-04-30,admin
RAT-EMP1002-05,EMP1002,4.7,5,2024,Promoted to senior role,Excellent,2024-05-31,admin,2024-05-31,admin
RAT-EMP1002-06,EMP1002,4.6,6,2024,Leading the new module,Excellent,2024-06-30,admin,2024-06-30,admin
RAT-EMP1002-01-25,EMP1002,4.8,1,2025,Great start to 2025,Excellent,2025-01-31,admin,2025-01-31,admin
RAT-EMP1002-02-25,EMP1002,4.6,2,2025,Solid delivery,Excellent,2025-02-28,admin,2025-02-28,admin
RAT-EMP1002-03-25,EMP1002,4.7,3,2025,Ahead of targets,Excellent,2025-03-31,admin,2025-03-31,admin
RAT-EMP1002-04-25,EMP1002,4.9,4,2025,Outstanding quarter,Excellent,2025-04-30,admin,2025-04-30,admin
